,x
1,Kentucky
2,Maryland
3,California
4,North Carolina
5,Georgia
6,New York
7,New York
8,Washington
9,Maryland
10,North Carolina
11,Indiana
12,Michigan
13,North Carolina
14,California
15,Colorado
16,Colorado
17,Texas
18,Utah
19,New York
20,Tennessee
21,California
22,Minnesota
23,Texas
24,New York
25,District of Columbia
26,New York
27,Michigan
28,California
29,Oregon
30,California
31,Pennsylvania
32,Washington
33,New York
34,Kansas
35,Florida
36,California
37,Massachusetts
38,Maryland
39,Ohio
40,District of Columbia
41,New Jersey
42,California
43,District of Columbia
44,Pennsylvania
45,Ohio
46,Florida
47,Arizona
48,New York
49,Ohio
50,Vermont
51,New Jersey
52,Kansas
53,Wisconsin
54,District of Columbia
55,Michigan
56,New York
57,Indiana
58,Texas
59,Illinois
60,South Dakota
61,Kansas
62,Washington
63,Kansas
64,District of Columbia
65,Wisconsin
66,Texas
67,Pennsylvania
68,New York
69,Texas
70,Georgia
71,California
72,California
73,Oklahoma
74,Nebraska
75,Florida
76,Michigan
77,Tennessee
78,Massachusetts
79,Indiana
80,North Carolina
81,Pennsylvania
82,New York
83,Indiana
84,Virginia
85,New York
86,Massachusetts
87,Virginia
88,Delaware
89,Kansas
90,Florida
91,New Hampshire
92,Florida
93,Kansas
94,Florida
95,New Jersey
96,Texas
97,New York
98,Oklahoma
99,Indiana
100,New York
101,North Carolina
102,Pennsylvania
103,California
104,Maryland
105,Georgia
106,New York
107,Delaware
108,Maryland
109,Georgia
110,Wisconsin
111,North Carolina
112,New York
113,Florida
114,New York
115,Pennsylvania
116,Pennsylvania
117,Iowa
118,Pennsylvania
119,Pennsylvania
120,District of Columbia
121,South Carolina
122,Illinois
123,Georgia
124,Virginia
125,Pennsylvania
126,Indiana
127,Florida
128,Georgia
129,District of Columbia
130,Pennsylvania
131,New Jersey
132,Pennsylvania
133,Colorado
134,Florida
135,California
136,Maine
137,Alabama
138,Indiana
139,Virginia
140,New Jersey
141,Florida
142,Washington
143,Kansas
144,Georgia
145,Maryland
146,Maine
147,Texas
148,Illinois
149,District of Columbia
150,Massachusetts
151,Ohio
152,Maryland
153,District of Columbia
154,California
155,District of Columbia
156,Rhode Island
157,Virginia
158,Oklahoma
159,New Jersey
160,North Carolina
161,New York
162,Pennsylvania
163,Pennsylvania
164,Maryland
165,Ohio
166,Illinois
167,North Carolina
168,North Carolina
169,Wisconsin
170,New Jersey
171,Pennsylvania
172,Massachusetts
173,New York
174,Texas
175,Colorado
176,Indiana
177,Pennsylvania
178,New York
179,Illinois
180,Delaware
181,Indiana
182,Texas
183,Illinois
184,Georgia
185,Florida
186,New York
187,Georgia
188,Tennessee
189,District of Columbia
190,New York
191,Kansas
192,New York
193,Ohio
194,Nevada
195,Kansas
196,Pennsylvania
197,Texas
198,New York
199,California
200,North Carolina
201,Texas
202,New York
203,Nebraska
204,Minnesota
205,New Hampshire
206,Pennsylvania
207,New Jersey
208,Texas
209,Washington
210,Indiana
211,Georgia
212,Kansas
213,Massachusetts
214,North Carolina
215,Kansas
216,Florida
217,Kansas
218,Pennsylvania
219,Tennessee
220,New York
221,Illinois
222,New York
223,Montana
224,District of Columbia
225,Minnesota
226,Indiana
227,Wisconsin
228,Virginia
229,Minnesota
230,New Jersey
231,New Mexico
232,Oregon
233,North Carolina
234,New Jersey
235,Indiana
236,Nebraska
237,Colorado
238,Kansas
239,Maryland
240,California
241,New York
242,Pennsylvania
243,California
244,New York
245,District of Columbia
246,Illinois
247,North Carolina
248,District of Columbia
249,Maryland
250,Massachusetts
251,North Carolina
252,North Carolina
253,Indiana
254,California
255,Massachusetts
256,North Carolina
257,California
258,New York
259,Virginia
260,Virginia
261,Michigan
262,Texas
263,Maryland
264,Texas
265,Alabama
266,New York
267,North Carolina
268,New York
269,Michigan
270,New York
271,California
272,California
273,Pennsylvania
274,Illinois
275,Washington
276,New York
277,Washington
278,California
279,Kansas
280,Alabama
281,New Jersey
282,Texas
283,Louisiana
284,South Carolina
285,Florida
286,New York
287,Oregon
288,New York
289,Florida
290,New York
291,California
292,Louisiana
293,North Carolina
294,Wisconsin
295,Indiana
296,Kansas
297,Louisiana
298,Alabama
299,Georgia
300,Kansas
301,Texas
302,Texas
303,Georgia
304,Ohio
305,Florida
306,Washington
307,Maine
308,Maine
309,Maine
310,Maine
311,Maine
312,Maine
313,Maine
314,Maine
315,Maine
316,Maine
