"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LotusOak: Animal #STUDY: #Flu #Vaccine Enhances Colonization of STREP &amp; STAPH Bacteria

https://t.co/n3VoEPPDEU
#LearnTheRisk https://t…",FALSE,0,NA,2018-03-08 00:17:34,FALSE,NA,"971540392519897090",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","toymath78",4,TRUE,FALSE,NA,NA
"2","RT @LotusOak: Animal #STUDY: #Flu #Vaccine Enhances Colonization of STREP &amp; STAPH Bacteria

https://t.co/n3VoEPPDEU
#LearnTheRisk https://t…",FALSE,0,NA,2018-03-08 00:17:31,FALSE,NA,"971540381623050245",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wrinklyrebel",4,TRUE,FALSE,NA,NA
"3","RT @LotusOak: Animal #STUDY: #Flu #Vaccine Enhances Colonization of STREP &amp; STAPH Bacteria

https://t.co/n3VoEPPDEU
#LearnTheRisk https://t…",FALSE,0,NA,2018-03-08 00:15:42,FALSE,NA,"971539922661330964",NA,"<a href=""http://facebook.com/burnayeva"" rel=""nofollow"">LotusOak</a>","LotusOak",4,TRUE,FALSE,NA,NA
"4","Listening to these amazing infectious disease experts talk about #influenza at the @NMNH/@ASMicrobiology #flu progr… https://t.co/prDEzhhsZa",FALSE,0,NA,2018-03-08 00:14:31,TRUE,NA,"971539623494258688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ebiekane",0,FALSE,FALSE,NA,NA
"5","""Are we prepared? Yes, of course there have been many improvements since 1918. But I think we still have a long way… https://t.co/9WWalPOMvB",FALSE,0,NA,2018-03-08 00:11:57,TRUE,NA,"971538978905174017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ASMicrobiology",0,FALSE,FALSE,NA,NA
"6","RT @Veggie_Quest: Fascinating, terrifying talk by John Barry, author of The Great Influenza, at @NMNH #flu #influenza https://t.co/NlbPwFha…",FALSE,0,NA,2018-03-08 00:11:47,FALSE,NA,"971538935880077313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","veganhammer",1,TRUE,FALSE,NA,NA
"7","#NIH Fauci, @CDCDirector @SGottliebFDA &amp; @BARDA Bright expected to be grilled tomorrow over ineffective #flu vaccin… https://t.co/DXQH2BL8dJ",FALSE,0,NA,2018-03-08 00:09:34,TRUE,NA,"971538377731379201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
"8","Fascinating, terrifying talk by John Barry, author of The Great Influenza, at @NMNH #flu #influenza https://t.co/NlbPwFhaiB",FALSE,1,NA,2018-03-08 00:06:32,FALSE,NA,"971537616679129088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Veggie_Quest",1,FALSE,FALSE,NA,NA
"9","@q_Sage_p To fight the #flu try this beauty care technique, as soon as possible. I have more advises if you need it.
https://t.co/XWI60LCFP4",FALSE,0,"q_Sage_p",2018-03-08 00:05:41,FALSE,"971535218120314883","971537399783313409","2489951219","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Flu_Killer",0,FALSE,FALSE,NA,NA
"10","Make your own elderberry tincture and cough syrup to fight the flu. https://t.co/yWwbginDvB #flu #naturalremedies #health",FALSE,0,NA,2018-03-08 00:01:26,FALSE,NA,"971536331351392256",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","RealNewsTarget",0,FALSE,FALSE,NA,NA
