,STATENAME,ACTIVITY LEVEL
1,alabama,Level 10
2,alaska,Level 8
3,arizona,Level 10
4,arkansas,Level 10
5,california,Level 8
6,colorado,Level 8
7,connecticut,Level 10
8,delaware,Level 1
9,district of columbia,Level 10
10,florida,Level 10
11,georgia,Level 10
12,hawaii,Level 8
13,idaho,Level 1
14,illinois,Level 10
15,indiana,Level 10
16,iowa,Level 10
17,kansas,Level 10
18,kentucky,Level 10
19,louisiana,Level 10
20,maine,Level 0
21,maryland,Level 10
22,massachusetts,Level 10
23,michigan,Level 10
24,minnesota,Level 10
25,mississippi,Level 10
26,missouri,Level 10
27,montana,Level 2
28,nebraska,Level 10
29,nevada,Level 7
30,new hampshire,Level 10
31,new jersey,Level 10
32,new mexico,Level 10
33,new york,Level 10
34,north carolina,Level 10
35,north dakota,Level 4
36,ohio,Level 9
37,oklahoma,Level 10
38,oregon,Level 10
39,pennsylvania,Level 10
40,rhode island,Level 10
41,south carolina,Level 10
42,south dakota,Level 10
43,tennessee,Level 10
44,texas,Level 10
45,utah,Level 3
46,vermont,Level 10
47,virginia,Level 10
48,washington,Level 10
49,west virginia,Level 10
50,wisconsin,Level 9
51,wyoming,Level 10
52,new york city,Level 10
53,puerto rico,Level 9
54,virgin islands,Level 5
